order_item_id,order_id,product_id,quantity,unit_price
1,1,38,1,38.97
2,1,58,1,21.46
3,1,39,1,59.27
4,1,45,2,174.61
5,2,58,2,21.46
6,3,26,2,80.1
7,4,22,3,41.98
8,5,30,1,30.51
9,5,40,3,58.6
10,6,11,1,62.04
11,7,54,3,5.86
12,7,18,2,117.9
13,7,49,1,88.65
14,8,28,3,9.66
15,8,45,2,174.61
16,9,26,2,84.32
17,10,35,1,6.33
18,11,55,1,25.2
19,11,44,3,75.69
20,11,4,2,343.75
21,11,7,3,97.14
22,12,28,1,9.66
23,12,12,2,120.17
24,13,14,1,39.32
25,14,4,2,343.75
26,14,23,1,34.05
27,14,56,1,15.32
28,14,29,1,17.72
29,15,40,2,58.6
30,16,34,3,35.16
31,16,6,1,274.62
32,16,50,2,50.36
33,16,38,1,38.97
34,17,60,1,13.97
35,17,57,1,22.42
36,17,32,1,13.9
37,17,19,2,116.13
38,18,12,3,120.17
39,18,1,3,166.25
40,18,17,1,63.23
41,19,44,1,75.69
42,19,51,1,4.82
43,20,54,2,5.57
44,20,60,3,13.97
45,20,3,1,42.57
46,21,19,1,116.13
47,21,1,3,166.25
48,22,13,2,71.35
49,23,25,1,41.66
50,23,9,2,247.25
51,24,17,1,63.23
52,24,35,3,6.33
53,24,59,2,24.67
54,24,49,3,84.22
55,25,2,1,112.61
56,25,47,3,130.34
57,26,44,1,71.91
58,26,17,1,63.23
59,26,45,2,174.61
60,27,5,2,176.19
61,27,40,1,58.6
62,28,4,2,343.75
63,29,9,1,247.25
64,30,59,3,23.44
65,30,21,3,69.32
66,30,28,3,9.66
67,30,34,1,35.16
68,31,53,2,8.99
69,32,57,2,22.42
70,32,43,3,37.07
71,32,25,3,39.58
72,33,25,1,39.58
73,33,19,1,116.13
74,34,25,2,41.66
75,35,42,2,76.5
76,35,50,1,50.36
77,35,4,1,343.75
78,36,30,1,30.51
79,37,2,2,112.61
80,37,14,1,39.32
81,37,42,2,76.5
82,38,27,2,58.96
83,38,28,2,9.66
84,38,8,3,175.41
85,39,44,3,71.91
86,39,33,3,33.47
87,40,35,1,6.33
88,40,7,3,97.14
89,41,16,1,117.45
90,42,3,2,42.57
91,42,5,3,176.19
92,42,24,2,42.02
93,43,54,2,5.86
94,43,43,3,37.07
95,44,44,1,71.91
96,44,37,2,12.41
97,44,21,3,69.32
98,44,18,1,124.11
99,45,60,2,13.97
100,45,22,1,41.98
101,46,42,3,76.5
102,46,6,2,289.07
103,47,11,2,62.04
104,47,5,2,176.19
105,47,31,1,34.1
106,47,3,1,42.57
107,48,32,2,13.9
108,48,19,2,116.13
109,49,4,2,343.75
110,49,54,3,5.86
111,49,51,1,5.07
112,50,18,2,117.9
113,51,39,3,59.27
114,51,43,3,37.07
115,51,30,3,30.51
116,51,51,3,4.82
117,52,6,2,274.62
118,52,25,2,41.66
119,52,11,2,62.04
120,52,46,1,167.04
121,53,45,1,174.61
122,53,12,3,120.17
123,53,54,1,5.86
124,54,57,2,22.42
125,54,9,2,234.89
126,54,43,1,37.07
127,54,24,3,42.02
128,55,14,1,39.32
129,55,16,1,111.58
130,55,60,3,13.97
131,56,10,1,236.19
132,56,6,3,274.62
133,56,43,1,37.07
134,57,13,1,71.35
135,58,39,3,59.27
136,59,48,3,96.53
137,59,40,2,58.6
138,59,31,3,34.1
139,59,17,3,63.23
140,60,13,1,71.35
141,60,16,2,117.45
142,60,20,3,102.52
143,60,31,2,34.1
144,61,12,2,120.17
145,61,16,2,117.45
146,61,24,3,42.02
147,61,55,1,25.2
148,62,13,1,71.35
149,62,25,1,41.66
150,63,46,3,167.04
151,63,41,2,116.68
152,63,32,2,13.9
153,64,41,2,116.68
154,64,50,2,53.01
155,65,5,2,176.19
156,65,3,2,42.57
157,66,14,1,37.35
158,67,46,1,167.04
159,67,54,1,5.86
160,67,21,2,69.32
161,67,57,1,21.3
162,68,27,2,58.96
163,68,9,2,247.25
164,68,11,3,62.04
165,68,52,1,34.98
166,69,27,1,58.96
167,69,24,1,39.92
168,70,39,2,59.27
169,70,31,2,32.4
170,71,20,2,102.52
171,72,52,2,34.98
172,72,40,2,58.6
173,73,22,1,41.98
174,73,27,1,58.96
175,73,46,3,167.04
176,74,26,3,84.32
177,74,8,3,175.41
178,75,15,3,42.56
179,75,16,2,111.58
180,75,14,2,39.32
181,76,34,2,35.16
182,76,50,1,53.01
183,76,31,1,34.1
184,77,50,3,50.36
185,77,43,1,37.07
186,77,2,3,118.54
187,78,10,1,236.19
188,78,54,3,5.86
189,79,56,1,15.32
190,79,43,3,37.07
191,80,50,1,50.36
192,80,48,1,101.61
193,80,55,1,25.2
194,80,11,1,62.04
195,81,7,1,97.14
196,81,53,2,8.99
197,81,23,1,34.05
198,82,18,1,117.9
199,82,53,1,8.99
200,83,57,1,22.42
201,83,56,3,15.32
202,83,31,3,34.1
203,84,3,3,42.57
204,84,38,3,38.97
205,84,55,2,25.2
206,85,48,2,101.61
207,86,45,3,174.61
208,86,28,2,9.66
209,86,16,1,117.45
210,86,32,3,13.21
211,87,22,3,41.98
212,87,31,2,32.4
213,87,40,1,58.6
214,88,58,2,21.46
215,89,23,1,34.05
216,89,59,3,24.67
217,89,18,3,117.9
218,89,49,3,88.65
219,90,8,1,175.41
220,90,6,1,289.07
221,90,55,1,25.2
222,91,1,1,157.94
223,91,44,1,75.69
224,91,39,1,59.27
225,92,35,2,6.33
226,92,4,3,343.75
227,92,42,3,76.5
228,92,8,1,166.64
229,93,1,2,166.25
230,93,11,2,62.04
231,94,57,1,22.42
232,94,52,2,33.23
233,95,40,3,58.6
234,95,57,2,22.42
235,95,45,2,174.61
236,95,15,3,42.56
237,96,21,3,69.32
238,97,32,2,13.9
239,98,30,3,30.51
240,99,43,2,35.22
241,99,24,2,42.02
242,99,11,1,62.04
243,100,1,2,166.25
244,101,20,2,102.52
245,101,10,1,236.19
246,102,25,2,41.66
247,102,50,1,50.36
248,102,3,2,42.57
249,103,22,3,41.98
250,103,44,2,75.69
251,104,3,3,42.57
252,105,24,2,42.02
253,106,28,2,9.18
254,106,55,2,23.94
255,107,53,2,8.99
256,108,20,2,102.52
257,108,38,2,38.97
258,108,31,3,32.4
259,108,54,1,5.86
260,109,2,3,118.54
261,110,6,2,289.07
262,110,59,1,23.44
263,111,17,1,60.07
264,112,55,1,25.2
265,112,33,1,35.23
266,113,55,2,25.2
267,114,47,1,123.82
268,115,35,3,6.33
269,115,55,1,25.2
270,115,43,3,37.07
271,115,40,1,58.6
272,116,21,2,69.32
273,116,39,2,59.27
274,116,15,2,42.56
275,116,45,1,174.61
276,117,41,2,116.68
277,117,51,2,5.07
278,118,33,2,35.23
279,118,55,1,25.2
280,118,7,3,97.14
281,119,5,3,176.19
282,119,16,3,117.45
283,120,34,3,35.16
284,120,24,1,42.02
285,120,19,2,116.13
286,120,3,2,40.44
287,121,8,2,175.41
288,121,10,3,236.19
289,122,11,1,62.04
290,122,1,2,157.94
